track_id,track_name,popularity,explicit,track_number,disc_number,artist_id,artist_name,album_id,album_name,release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
0rZpay53rs46rmJv3Io3ex,Hello - Remastered,0,False,1,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.346,0.954,9,-3.185,0,0.0866,0.0131,0.0173,0.161,0.059,132.201,4,203187
01OIRMX1fZ7dC0eYxzue5K,Roll With It - Remastered,0,False,2,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.223,0.985,9,-1.909,0,0.0957,0.0298,0.000424,0.11,0.139,126.612,4,240093
4aZYnnp6L8xDXpAQsc2iq2,Wonderwall - Remastered,0,False,3,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,4,258773
2uaHngQoVUOqElYjRZbbbH,Don't Look Back In Anger - Remastered,0,False,4,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,4,289560
0hNAftBjulAvQcKN7DMJ8w,Hey Now! - Remastered,0,False,5,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.151,0.935,11,-2.461,0,0.0626,0.000235,0.000561,0.308,0.202,202.341,4,341907
1ySErNCwCKqKIgB4SBlrOP,The Swamp Song (Excerpt 1) - Remastered,0,False,6,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.281,0.702,10,-5.683,1,0.0478,6.93e-05,0.65,0.236,0.165,143.126,4,44627
2fvrtfBOnfgYPamBghWpZw,Some Might Say - Remastered,0,False,7,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.259,0.927,0,-2.277,0,0.092,0.165,0.013,0.287,0.0734,110.156,4,327920
6aF2SYcCr3hsCfOJ8J68hV,Cast No Shadow - Remastered,0,False,8,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.421,0.846,7,-4.302,1,0.0283,0.00174,0.0,0.166,0.613,158.351,4,294813
4COdOlQ7mDzBzTpw4SClIV,She's Electric - Remastered,0,False,9,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.484,0.905,9,-3.506,1,0.0481,0.146,1.13e-06,0.24,0.486,125.414,4,220920
17LO8KvdM8MrMY8fHv4YPZ,Morning Glory - Remastered,0,False,10,1,2DaxqgrOhkeH0fpeiQq2f4,Oasis,4EYiaCimOb1Li1bnb7ppi6,(What's The Story) Morning Glory? (30th Anniversary Deluxe Edition),2025-10-03,album,0.33,0.982,0,-3.045,1,0.0926,0.0588,4.74e-05,0.519,0.104,136.986,4,303320
